epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,155.919,0.41026,0.98235,1,0.06849,0.000542744,0.000542744,0.000542744
2,283.053,0.14792,0.99412,1,0.01977,0.000989668,0.000989668,0.000989668
3,403.021,0.05117,1,1,0.00911,0.00132657,0.00132657,0.00132657
4,510.148,0.0726,0.99706,1,0.01427,0.0011719,0.0011719,0.0011719
5,632.168,0.06488,0.99412,1,0.01302,0.00100687,0.00100687,0.00100687
6,738.484,0.05522,0.99118,1,0.02302,0.000841835,0.000841835,0.000841835
7,848.099,0.05302,0.99706,1,0.00563,0.000676802,0.000676802,0.000676802
8,978.655,0.04988,1,1,0.00462,0.000511769,0.000511769,0.000511769
9,1095.31,0.03678,1,1,0.00177,0.000346736,0.000346736,0.000346736
10,1187.11,0.0375,1,1,0.00163,0.000181703,0.000181703,0.000181703
